Município,Eficiência CRS,Eficiência VRS,COD_MUN,Escala de Eficiência,gasto_per_capita,ideb_2019
Prefeitura Municipal de Santo Amaro da Imperatriz - SC,0.1206203198,0.14719768,4215703,0.8194444355372993,557.5855079676927,5.9
Prefeitura Municipal de Imbuia - SC,0.11943591519999999,0.12834904,4207403,0.9305555787561792,639.4694555501382,6.7
Prefeitura Municipal de Meleiro - SC,0.1191362924,0.12614431,4210803,0.944444441449638,650.6460059760956,6.8
Prefeitura Municipal de Coronel Freitas - SC,0.119007126,0.13600814,4204400,0.8750000257337539,603.4586649371383,6.3
Prefeitura Municipal de OtacÌlio Costa - SC,0.118114334,0.12506224,4211751,0.9444444142372631,656.2755786061589,6.8
Prefeitura Municipal de Luzerna - SC,0.11785827900000001,0.4257025839999997,4210035,0.2768559163831622,744.750094970102,7.7
Prefeitura Municipal de ¡guas Mornas - SC,0.11652446259999999,0.24320420200000026,4200606,0.4791219133623352,723.9266368767638,7.4
Prefeitura Municipal de S„o Francisco do Sul - SC,0.11579531750000001,0.14130954,4216206,0.8194444444444444,580.8191884203804,5.9
Prefeitura Municipal de Trombudo Central - SC,0.1151815707,0.13163608,4218608,0.8750000053176911,623.501478583196,6.3
Prefeitura Municipal de Chapad„o do Lageado - SC,0.11489561999999999,0.11489562,4204194,0.9999999999999999,714.3465948130684,7.2
Prefeitura Municipal de S„o JosÈ do Cerrito - SC,0.1148127864,0.14252621,4216800,0.8055555985106179,575.861033131457,5.8
Prefeitura Municipal de Vargem Bonita - SC,0.11476499579999999,0.13115999,4219176,0.875000034690457,625.7646912218792,6.3
Prefeitura Municipal de Arabut„ - SC,0.1147645877,0.5238091449999995,4201273,0.21909618951001725,784.6918166901079,7.9
Prefeitura Municipal de Guabiruba - SC,0.1140277504,0.12828122,4206306,0.8888888833455123,639.8075584393263,6.4
Prefeitura Municipal de Erval Velho - SC,0.11227805399999999,0.115486,4205209,0.9722222087525759,710.6947628772407,7.0
Prefeitura Municipal de Cambori˙ - SC,0.1116877086,0.14891695,4203204,0.7499999738109061,551.1481037682164,5.4
